freqdetail	fracdetail
381.100006103516	0.858719289302826
381.119995117188	0.72961014509201
381.140014648438	0.961149036884308
381.160003662109	0.865294754505157
381.179992675781	0.855789363384247
381.200012207031	0.746519565582275
381.220001220703	0.919812798500061
381.239990234375	0.845253169536591
381.260009765625	0.900149464607239
381.279998779297	1.07722616195679
381.299987792969	0.943736612796783
381.320007324219	0.871632754802704
381.339996337891	1.04025566577911
381.359985351562	0.950112879276276
381.380004882812	0.879639625549316
381.399993896484	0.965126514434814
381.420013427734	0.873338639736176
381.440002441406	0.967531263828278
381.459991455078	0.644690752029419
381.480010986328	0.773904919624329
381.5	0.605141758918762
381.519989013672	0.398498594760895
381.540008544922	0.419195353984833
381.559997558594	0.428663045167923
381.579986572266	0.245136708021164
381.600006103516	0.466034978628159
381.619995117188	0.498010098934174
381.640014648438	0.670746207237244
381.660003662109	0.96614134311676
381.679992675781	1.01848161220551
381.700012207031	0.862791478633881
381.720001220703	0.808333277702332
381.739990234375	0.876551747322083
381.760009765625	0.907042622566223
381.779998779297	1.04681432247162
381.799987792969	0.836890757083893
381.820007324219	0.978668808937073
381.839996337891	0.888839662075043
381.859985351562	0.821901440620422
381.880004882812	0.872736275196075
381.899993896484	0.982859194278717
515.599975585938	1.13263750076294
515.609985351562	0.977648913860321
515.619995117188	0.93756628036499
515.630004882812	1.043541431427
515.640014648438	1.15204262733459
515.650024414062	1.09129810333252
515.659973144531	0.928223550319672
515.669982910156	1.03573596477509
515.679992675781	1.07265722751617
515.690002441406	0.759882867336273
515.700012207031	1.12945353984833
515.710021972656	1.06788098812103
515.719970703125	0.95396625995636
515.72998046875	0.839537620544434
515.739990234375	0.96855616569519
515.75	0.950305998325348
515.760009765625	1.05800580978394
515.77001953125	1.028648853302
515.780029296875	0.971009373664856
515.789978027344	1.0039359331131
515.799987792969	1.02613711357117
515.804992675781	0.894500076770782
515.809997558594	0.9533970952034
515.815002441406	0.959389448165894
515.820007324219	1.06420075893402
515.825012207031	1.00018501281738
515.830017089844	1.18728482723236
515.835021972656	1.01244056224823
515.840026855469	1.12954425811768
515.844970703125	1.05012357234955
515.849975585938	1.04398846626282
515.85498046875	0.996253371238708
515.859985351562	0.898998975753784
515.864990234375	1.18296122550964
515.869995117188	1.20885729789734
515.875	1.0205944776535
515.880004882812	0.974318981170654
515.885009765625	0.977571368217468
515.890014648438	1.07379806041718
515.89501953125	0.959941744804382
515.900024414062	1.09092473983765
515.905029296875	0.880204200744629
515.909973144531	0.998766481876373
515.914978027344	0.893603026866913
515.919982910156	0.788426399230957
515.924987792969	0.857995986938477
515.929992675781	0.836995840072632
515.934997558594	0.920413017272949
515.940002441406	1.10976302623749
515.945007324219	1.18112027645111
515.950012207031	0.756369709968567
515.955017089844	1.02624893188477
515.960021972656	0.856864988803864
515.965026855469	1.05985414981842
515.969970703125	0.953899681568146
515.974975585938	0.806419670581818
515.97998046875	0.853079974651337
515.984985351562	0.944804608821869
515.989990234375	1.12634384632111
515.994995117188	1.05807983875275
515.997985839844	1.0046728849411
516	1.04975175857544
516	1.03506302833557
516.005004882812	1.11409401893616
516.010009765625	0.945590078830719
516.015014648438	0.86873584985733
516.02001953125	1.12222445011139
516.025024414062	1.03979992866516
516.030029296875	0.874783515930176
516.034973144531	0.890394926071167
516.039978027344	0.893439650535583
516.044982910156	0.798049092292786
516.049987792969	0.761834740638733
516.054992675781	0.824640929698944
516.059997558594	0.570487320423126
516.065002441406	0.465029299259186
516.070007324219	0.513434112071991
516.075012207031	0.471295446157455
516.080017089844	0.35257288813591
516.085021972656	0.556845426559448
516.090026855469	0.467450261116028
516.094970703125	0.558714270591736
516.099975585938	0.746523857116699
516.10498046875	0.648190796375275
516.109985351562	0.820277810096741
516.114990234375	0.86934906244278
516.119995117188	0.814821541309357
516.125	1.00957453250885
516.130004882812	0.912507832050323
516.135009765625	0.987031102180481
516.140014648438	0.904771149158478
516.14501953125	1.08716797828674
516.150024414062	0.907996356487274
516.155029296875	0.963446974754333
516.159973144531	0.898920714855194
516.164978027344	0.950345277786255
516.169982910156	1.00357258319855
516.174987792969	0.97667795419693
516.179992675781	0.969401359558105
516.184997558594	1.03421533107758
516.190002441406	0.872428059577942
516.195007324219	1.13093888759613
516.200012207031	1.08746802806854
516.205017089844	0.908921658992767
516.210021972656	0.975663006305695
516.215026855469	1.12535107135773
516.219970703125	1.16834938526154
516.224975585938	1.00128698348999
516.22998046875	1.46472632884979
516.234985351562	1.01754260063171
516.239990234375	0.988748073577881
516.244995117188	0.936616063117981
516.25	1.0866459608078
516.255004882812	1.23904550075531
516.260009765625	0.921224415302277
516.265014648438	0.999030828475952
516.27001953125	1.18228960037231
516.275024414062	1.27959620952606
516.280029296875	0.893356621265411
516.284973144531	1.12205243110657
516.289978027344	0.966861367225647
516.294982910156	1.26284432411194
516.299987792969	0.989942669868469
516.304992675781	1.10297214984894
516.309997558594	1.27345764636993
516.315002441406	1.24956679344177
516.320007324219	1.37206971645355
516.325012207031	1.03718876838684
516.330017089844	1.09440433979034
516.335021972656	1.09364748001099
516.340026855469	0.912407279014587
516.344970703125	1.04245686531067
516.349975585938	1.1632364988327
516.35498046875	1.06349289417267
516.359985351562	0.93465131521225
516.364990234375	0.95899361371994
516.369995117188	1.15236163139343
516.375	0.923239350318909
516.380004882812	1.12753593921661
516.385009765625	0.950140833854675
516.390014648438	1.02691316604614
516.39501953125	1.13807475566864
516.400024414062	0.941635608673096
516.405029296875	1.08064699172974
516.409973144531	0.840049386024475
516.414978027344	1.01738142967224
516.419982910156	0.917698264122009
516.424987792969	0.831430196762085
516.429992675781	1.00396716594696
516.434997558594	0.939093232154846
516.440002441406	1.18885457515717
516.445007324219	1.09728813171387
516.450012207031	1.05273902416229
516.455017089844	1.00992512702942
516.460021972656	1.02509760856628
516.465026855469	0.769666135311127
516.469970703125	1.39814078807831
516.474975585938	1.17862629890442
516.47998046875	0.88359797000885
516.484985351562	0.92489755153656
