freq804	frac804
480.3	1.072420907
480.4	1.078363196
480.5	1.12789539
480.6	1.138124811
480.7	1.05862566
480.8	1.068746546
480.9	1.047381437
481	1.066114573
481.1	0.993904902
481.2	1.033300382
481.3	1.024361171
481.4	1.033502981
481.5	1.007314397
481.6	1.003597979
481.7	1.032314523
481.8	0.976277466
481.9	1.004923915
482	1.011616904
482.1	1.045087732
482.2	1.009318224
482.3	0.968981203
482.4	0.93848559
482.5	0.978695987
482.6	0.98462064
482.7	1.006411748
482.8	0.922366339
482.9	0.908038818
483	0.914232999
483.1	1.041122588
483.2	1.081649997
483.3	1.055069783
483.4	0.93972922
483.5	0.913558726
483.6	0.989776051
483.7	0.999110962
483.8	1.033240688
483.9	0.978448618
484	1.04362251
484.1	1.028020608
484.2	1.031905255
484.3	0.924944496
484.4	0.964478359
484.5	0.997274008
484.6	1.036388202
484.7	0.992273712
484.8	1.025345221
484.9	1.045177273
484.9666667	1.076964
485.0333333	1.04170732
485.1	1.045294853
485.2	1.049749309
485.3	1.040085174
485.4	1.108186344
485.5	1.053862784
485.6	1.100922642
485.7	1.033800999
485.8	1.025117298
485.9	0.986938314
486	1.021228128
486.1	1.117632505
486.2	1.091820176
486.3	1.110366088
486.4	1.021395905
486.5	1.058719272
486.6	1.022626872
486.7	1.088393184
486.8	1.073569569
486.9	1.099192866
487	1.085761663
487.1	1.116435907
487.2	1.060865551
487.3	1.02422098
487.4	1.026495692
487.5	1.110750935
487.6	1.215514766
487.7	1.194576561
487.8	1.191795353
487.9	1.159655435
488	1.173597656
488.1	1.161808046
488.2	1.13265284
488.3	1.127289403
488.4	1.069534781
488.5	1.020670529
488.6	1.052819492
488.7	1.11603704
488.8	1.135999335
488.9	1.138504683
489	1.0885587
489.1	1.120119764
489.2	1.069972087
489.3	1.046367992
489.4	0.996910868
489.5	0.97785665
489.6	1.057217871
489.7	1.066316267
489.8	1.121906069
489.9	1.047327622
489.9666667	1.07248241
490.0333333	1.005033354
490.1	1.073280594
490.2	1.033155669
490.3	1.040439722
490.4	0.929090984
490.5	0.961528016
490.6	0.947796082
490.7	1.010822338
490.8	0.953849167
490.9333333	0.995719245
491.0666667	1.000953344
491.2	1.026970532
491.3	1.03974148
491.4	0.970477177
491.5	0.965122785
491.6	0.940661716
491.7	0.956643491
491.8	0.979902534
491.9	0.944391702
492	0.96495546
492.1	0.948832138
492.2	0.971168635
492.3	0.968906133
492.4	0.96671644
492.5	0.952907627
492.6	0.944823128
492.7	0.922020383
492.8	0.983296061
492.9	1.026429666
493	1.075920707
493.1	1.081912742
493.2	1.082618219
493.3	1.085575797
493.4	1.038274449
493.5	0.968599522
493.6	1.003235744
493.7	1.077661789
493.8	1.125093379
493.9	1.084872129
494	0.962810086
494.1	0.919236914
494.2	0.910110932
494.3	0.955634115
494.4	1.007664875
494.5	0.993475284
494.6	0.984681691
494.7	0.883515342
494.7666667	0.945451274
494.8333333	0.911788249
494.8666667	0.983896621
494.9333333	0.80140276
494.9666667	0.822996696
495	0.882880413
495.0333333	1.009466103
495.0666667	1.066483592
495.1333333	1.010962981
495.1666667	0.995281487
495.2333333	0.990492382
495.3	0.935599917
495.3666667	0.903009127
495.4333333	0.896591997
495.4666667	0.997390683
495.5333333	1.017669085
495.5666667	0.97889542
495.6333333	0.890921949
495.6666667	0.870553554
495.7333333	0.838848228
495.7666667	0.889145594
495.8333333	0.876270181
495.8666667	0.920909709
495.9333333	0.825698312
495.9666667	0.854780257
496.0333333	0.808524463
496.0666667	0.953567881
496.1333333	0.960604565
496.2	1.040243002
496.3	1.058933628
496.4	1.058161673
496.5	1.038946009
496.6	0.939136348
496.7	0.917356545
496.8	0.892960146
496.9	0.863841118
497	0.882320101
497.1	0.858233026
497.2	0.88991981
497.3	0.92007806
497.4	0.999801968
497.5	0.975351301
497.6	0.901671434
497.7	0.910679836
497.8	0.942891206
497.9	0.978550822
498	0.930481136
498.1	0.955011396
498.2	0.997350435
498.3	1.000764312
498.4	0.990191197
498.5	0.972739226
498.6	0.917746367
498.7	1.08320069
498.8	1.026529609
498.9	1.096661288
499	0.902233554
499.1	0.875768207
499.2	0.899872014
499.3	0.91507912
499.4	1.025110514
499.5	0.987689918
499.6	1.00330403
499.7	0.968658312
499.8	0.977805548
499.9	0.953406887
499.9666667	0.959090954
500	0.972947252
500.0333333	0.952823512
500.0666667	0.985014079
500.1333333	0.914966515
500.1666667	0.961757749
500.2333333	0.894194731
500.2666667	0.9144867
500.3333333	0.924941783
500.3666667	1.045329674
500.4333333	0.980958941
500.4666667	1.014678043
500.5333333	0.935543388
500.5666667	1.033579407
500.6333333	0.947738196
500.6666667	0.945098536
500.7333333	0.925261057
500.7666667	0.998869472
500.8333333	0.949565202
500.8666667	0.954893816
500.9333333	0.826579707
500.9666667	0.905674565
501.0333333	0.908149162
501.1	0.945222899
501.2	0.917766265
501.3	0.884783845
501.4	0.987194275
501.5	0.986672855
501.6	1.054934115
501.7	0.996040327
501.8	0.952510569
501.9	0.954907383
502	1.077642343
502.1	1.113636157
502.2	1.04924236
502.3	0.857506746
502.3666667	0.979360312
502.4333333	0.851185036
502.4666667	1.059390832
502.5333333	0.846877555
502.5666667	1.060212984
502.6333333	0.946644707
502.6666667	1.058967997
502.7333333	0.949634845
502.7666667	1.0956189
502.8333333	1.081846264
502.8666667	1.226869332
502.9333333	1.148529697
502.9666667	1.252561368
503.0333333	1.097686039
503.0666667	1.099381897
503.1333333	0.969736426
503.1666667	1.026600157
503.2333333	0.952184512
503.2666667	1.064491523
503.3333333	0.994851869
503.3666667	1.067634967
503.4333333	0.863332361
503.4666667	0.936676222
503.5333333	0.692046091
503.5666667	0.84507497
503.6333333	0.777373118
503.6666667	0.949515457
503.7333333	0.937911259
503.7666667	1.088054012
503.8333333	1.025589877
503.8666667	1.064852402
503.9333333	0.992613336
503.9666667	1.129853542
504.0333333	1.051976084
504.0666667	1.025965679
504.1333333	0.92266074
504.1666667	0.916155877
504.2333333	0.792355014
504.2666667	0.844386225
504.3333333	0.782614
504.3666667	0.963217544
504.4333333	0.984716512
504.4666667	1.108675656
504.5333333	1.016896226
504.5666667	1.016891704
504.6333333	1.001380248
504.6666667	1.08848363
504.7333333	1.033084216
504.7666667	1.02018574
504.8333333	0.967610045
504.8666667	1.050351225
504.9333333	0.92746296
504.9666667	0.950592666
505	0.927140068
505.0333333	0.985542735
505.0666667	0.945790446
505.1333333	0.832012334
505.1666667	0.921280989
505.2333333	0.846229058
505.2666667	0.991721992
505.3333333	0.918836239
505.3666667	1.108901771
505.4333333	0.955152491
505.4666667	0.958230814
505.5333333	0.856458479
505.5666667	0.964071352
505.6333333	0.9544036
505.6666667	0.989096803
505.7333333	0.871871349
505.7666667	0.930102169
505.8333333	0.866432391
505.8666667	1.054540223
505.9333333	1.037914927
505.9666667	1.140598504
506.0333333	1.008042938
506.0666667	1.12000128
506.1333333	1.033082408
506.1666667	1.090102158
506.2333333	0.889519587
506.2666667	0.935471032
506.3333333	0.859016287
506.3666667	0.960739781
506.4333333	0.953878562
506.4666667	1.062708384
506.5333333	1.081762602
506.5666667	1.184238606
506.6333333	1.161238237
506.6666667	1.209893559
506.7333333	1.126692461
506.7666667	1.126755773
506.8333333	1.054224567
506.8666667	1.032417179
506.9333333	0.935839146
506.9666667	0.926070094
507.0333333	0.807700049
507.1	0.784721387
507.2	0.738393688
507.3	0.800061901
507.4	0.940430175
507.5	0.930745238
507.6	0.963496569
507.7	0.841613609
507.8	0.848369911
507.9	0.765677118
508	0.753194693
508.1	0.810316194
508.2	0.927890769
508.3	1.080503596
508.4	1.067497942
508.5	1.03172572
508.6	0.900801345
508.7	0.894053636
508.8	0.852700456
508.9	0.851530992
509	0.884333877
509.1	0.924322681
509.2	0.967669739
509.3	0.990385203
509.4333333	1.057156368
509.5666667	1.030301199
509.7	0.969389566
509.8	0.900364039
509.9	0.916247228
509.9666667	1.007037633
510.0333333	0.985668002
510.1	0.96039473
510.2	0.84912242
510.3	0.876650958
510.4	0.83577895
510.5	0.812776772
510.6	0.778839697
510.7	0.862446444
510.8	0.87556606
510.9	0.861187438
511	0.832863429
511.1	0.850689393
511.2	0.907754819
511.3	0.934679631
511.4	0.888538702
511.5	0.963580232
511.6	0.942844626
511.7	0.991239012
511.8	0.890988879
511.9	0.899531034
512	0.944074689
512.1	0.969218623
512.2	0.944277288
